Custom-classification-lr-SGD/pg1,Custom-classification-lr-SGD/pg2,step,Custom-classification-train_loss,Custom-classification-epoch,Custom-classification-valid_mac_acc,Custom-classification-valid_mic_acc
,,1939,0.25546056032180786,7,,
0.01,0.01,1949,,,,
,,1949,0.28946608304977417,7,,
0.01,0.01,1959,,,,
,,1959,0.38163992762565613,7,,
0.01,0.01,1969,,,,
,,1969,0.37969380617141724,7,,
,,1975,,7,89.31961341375174,92.63271939328277
0.01,0.01,1979,,,,
,,1979,0.5317222476005554,8,,
0.01,0.01,1989,,,,
,,1989,0.2582242488861084,8,,
0.01,0.01,1999,,,,
,,1999,0.42288437485694885,8,,
0.01,0.01,2009,,,,
,,2009,0.37441983819007874,8,,
0.01,0.01,2019,,,,
,,2019,0.2957630753517151,8,,
0.01,0.01,2029,,,,
,,2029,0.2821481227874756,8,,
0.01,0.01,2039,,,,
,,2039,0.506022572517395,8,,
0.01,0.01,2049,,,,
,,2049,0.5319033861160278,8,,
0.01,0.01,2059,,,,
,,2059,0.49740925431251526,8,,
0.01,0.01,2069,,,,
,,2069,0.34271982312202454,8,,
0.01,0.01,2079,,,,
,,2079,0.3798972964286804,8,,
0.01,0.01,2089,,,,
,,2089,0.4811125695705414,8,,
0.01,0.01,2099,,,,
,,2099,0.4130839407444,8,,
0.01,0.01,2109,,,,
,,2109,0.5379505157470703,8,,
0.01,0.01,2119,,,,
,,2119,0.40685999393463135,8,,
0.01,0.01,2129,,,,
,,2129,0.507662296295166,8,,
0.01,0.01,2139,,,,
,,2139,0.22730876505374908,8,,
0.01,0.01,2149,,,,
,,2149,0.5186964869499207,8,,
0.01,0.01,2159,,,,
,,2159,0.4619786739349365,8,,
0.01,0.01,2169,,,,
,,2169,0.5067532658576965,8,,
0.01,0.01,2179,,,,
,,2179,0.36131060123443604,8,,
0.01,0.01,2189,,,,
,,2189,0.26507410407066345,8,,
0.01,0.01,2199,,,,
,,2199,0.4792014956474304,8,,
0.01,0.01,2209,,,,
,,2209,0.5183864831924438,8,,
0.01,0.01,2219,,,,
,,2219,0.31913647055625916,8,,
,,2222,,8,90.50270778537144,93.46334416756952
0.01,0.01,2229,,,,
,,2229,0.43583735823631287,9,,
0.01,0.01,2239,,,,
,,2239,0.5527501702308655,9,,
0.01,0.01,2249,,,,
,,2249,0.4230457544326782,9,,
0.01,0.01,2259,,,,
,,2259,0.5946179032325745,9,,
0.01,0.01,2269,,,,
,,2269,0.32461443543434143,9,,
0.01,0.01,2279,,,,
,,2279,0.35497963428497314,9,,
0.01,0.01,2289,,,,
,,2289,0.45115089416503906,9,,
0.01,0.01,2299,,,,
,,2299,0.3471957743167877,9,,
0.01,0.01,2309,,,,
,,2309,0.3067602813243866,9,,
0.01,0.01,2319,,,,
,,2319,0.587178647518158,9,,
0.01,0.01,2329,,,,
,,2329,0.3311041295528412,9,,
0.01,0.01,2339,,,,
,,2339,0.431837260723114,9,,
0.01,0.01,2349,,,,
,,2349,0.3148012161254883,9,,
0.01,0.01,2359,,,,
,,2359,0.48913994431495667,9,,
0.01,0.01,2369,,,,
,,2369,0.3485266864299774,9,,
0.01,0.01,2379,,,,
,,2379,0.48076656460762024,9,,
0.01,0.01,2389,,,,
,,2389,0.2458922117948532,9,,
0.01,0.01,2399,,,,
,,2399,0.534415066242218,9,,
0.01,0.01,2409,,,,
,,2409,0.520138144493103,9,,
0.01,0.01,2419,,,,
,,2419,0.5353596806526184,9,,
0.01,0.01,2429,,,,
,,2429,0.5052369236946106,9,,
0.01,0.01,2439,,,,
,,2439,0.4574815630912781,9,,
0.01,0.01,2449,,,,
,,2449,0.32884469628334045,9,,
0.01,0.01,2459,,,,
,,2459,0.4031420946121216,9,,
0.01,0.01,2469,,,,
,,2469,0.3037334680557251,9,,
,,2469,,9,89.54737410544791,91.87432286023835
0.001,0.001,2479,,,,
,,2479,0.38913071155548096,10,,
0.001,0.001,2489,,,,
,,2489,0.5170212984085083,10,,
0.001,0.001,2499,,,,
,,2499,0.4978494346141815,10,,
0.001,0.001,2509,,,,
,,2509,0.49639764428138733,10,,
0.001,0.001,2519,,,,
,,2519,0.5846071243286133,10,,
0.001,0.001,2529,,,,
,,2529,0.42160898447036743,10,,
0.001,0.001,2539,,,,
,,2539,0.46708983182907104,10,,
0.001,0.001,2549,,,,
,,2549,0.3622710704803467,10,,
0.001,0.001,2559,,,,
,,2559,0.26508015394210815,10,,
0.001,0.001,2569,,,,
,,2569,0.34869006276130676,10,,
0.001,0.001,2579,,,,
,,2579,0.5359184741973877,10,,
0.001,0.001,2589,,,,
,,2589,0.4527929723262787,10,,
0.001,0.001,2599,,,,
,,2599,0.4927004873752594,10,,
0.001,0.001,2609,,,,
,,2609,0.372298926115036,10,,
0.001,0.001,2619,,,,
,,2619,0.28164488077163696,10,,
0.001,0.001,2629,,,,
,,2629,0.38217809796333313,10,,
0.001,0.001,2639,,,,
,,2639,0.3649935722351074,10,,
0.001,0.001,2649,,,,
,,2649,0.4530411958694458,10,,
0.001,0.001,2659,,,,
,,2659,0.48093050718307495,10,,
0.001,0.001,2669,,,,
,,2669,0.44301486015319824,10,,
0.001,0.001,2679,,,,
,,2679,0.8929883241653442,10,,
0.001,0.001,2689,,,,
,,2689,0.41464799642562866,10,,
0.001,0.001,2699,,,,
,,2699,0.21819926798343658,10,,
0.001,0.001,2709,,,,
,,2709,0.45484739542007446,10,,
,,2716,,10,91.13595533960117,93.89671361502347
0.001,0.001,2719,,,,
,,2719,0.36864709854125977,11,,
0.001,0.001,2729,,,,
,,2729,0.3640141785144806,11,,
0.001,0.001,2739,,,,
,,2739,0.44940102100372314,11,,
0.001,0.001,2749,,,,
,,2749,0.3487991988658905,11,,
0.001,0.001,2759,,,,
,,2759,0.39866575598716736,11,,
0.001,0.001,2769,,,,
,,2769,0.602677583694458,11,,
0.001,0.001,2779,,,,
,,2779,0.4240390360355377,11,,
0.001,0.001,2789,,,,
,,2789,0.39804980158805847,11,,
0.001,0.001,2799,,,,
,,2799,0.3486241102218628,11,,
0.001,0.001,2809,,,,
,,2809,0.374047189950943,11,,
0.001,0.001,2819,,,,
,,2819,0.4995521903038025,11,,
0.001,0.001,2829,,,,
,,2829,0.5095202326774597,11,,
0.001,0.001,2839,,,,
,,2839,0.5099791884422302,11,,
0.001,0.001,2849,,,,
,,2849,0.43908482789993286,11,,
0.001,0.001,2859,,,,
,,2859,0.3855458199977875,11,,
0.001,0.001,2869,,,,
,,2869,0.35175424814224243,11,,
0.001,0.001,2879,,,,
,,2879,0.4442589581012726,11,,
0.001,0.001,2889,,,,
,,2889,0.3849855065345764,11,,
0.001,0.001,2899,,,,
,,2899,0.305717408657074,11,,
0.001,0.001,2909,,,,
,,2909,0.32258695363998413,11,,
0.001,0.001,2919,,,,
,,2919,0.44196823239326477,11,,
0.001,0.001,2929,,,,
,,2929,0.36678996682167053,11,,
0.001,0.001,2939,,,,
,,2939,0.41601401567459106,11,,
0.001,0.001,2949,,,,
,,2949,0.327230840921402,11,,
0.001,0.001,2959,,,,
,,2959,0.43683406710624695,11,,
,,2963,,11,91.27732506569622,93.89671361502347
0.001,0.001,2969,,,,
,,2969,0.3743010461330414,12,,
0.001,0.001,2979,,,,
,,2979,0.26992273330688477,12,,
0.001,0.001,2989,,,,
,,2989,0.31053251028060913,12,,
0.001,0.001,2999,,,,
,,2999,0.232149139046669,12,,
0.001,0.001,3009,,,,
,,3009,0.2700110077857971,12,,
0.001,0.001,3019,,,,
,,3019,0.5203768610954285,12,,
0.001,0.001,3029,,,,
